GID_0,NAME_0,NAME_1,farm_sz,nm_slc0,farm_sz2,variable,value
BEN,Mono,Mono,N0_1,Benin,Under 1 HA,Current Farms,22729.859313877387
BEN,Ouémé,Ouémé,N0_1,Benin,Under 1 HA,Current Farms,14661.145687241518
BEN,Plateau,Plateau,N0_1,Benin,Under 1 HA,Current Farms,26001.219015791583
BEN,Zou,Zou,N0_1,Benin,Under 1 HA,Current Farms,27413.108214482123
BFA,Boucle Du Mouhoun,Boucle Du Mouhoun,N0_1,Burkina Faso,Under 1 HA,Current Farms,7998.374753646503
BFA,Cascades,Cascades,N0_1,Burkina Faso,Under 1 HA,Current Farms,15110.095792974182
BFA,Centre,Centre,N0_1,Burkina Faso,Under 1 HA,Current Farms,18507.956073368296
BFA,Centre-Est,Centre-Est,N0_1,Burkina Faso,Under 1 HA,Current Farms,1577.0355216268795
BFA,Centre-Nord,Centre-Nord,N0_1,Burkina Faso,Under 1 HA,Current Farms,16847.21395602834
BFA,Centre-Ouest,Centre-Ouest,N0_1,Burkina Faso,Under 1 HA,Current Farms,13549.098965324312
BFA,Centre-Sud,Centre-Sud,N0_1,Burkina Faso,Under 1 HA,Current Farms,18300.340090271126
BFA,Est,Est,N0_1,Burkina Faso,Under 1 HA,Current Farms,17213.593539782756
BFA,Haut-Bassins,Haut-Bassins,N0_1,Burkina Faso,Under 1 HA,Current Farms,8039.336545777065
BFA,Nord,Nord,N0_1,Burkina Faso,Under 1 HA,Current Farms,15262.692776504458
BFA,Plateau-Central,Plateau-Central,N0_1,Burkina Faso,Under 1 HA,Current Farms,19050.75403098025
BFA,Sahel,Sahel,N0_1,Burkina Faso,Under 1 HA,Current Farms,596.1183401324067
BFA,Sud-Ouest,Sud-Ouest,N0_1,Burkina Faso,Under 1 HA,Current Farms,7293.81566139375
BWA,Botswana,Botswana,N0_1,Botswana,Under 1 HA,Current Farms,197.98303424256912
CAF,Central African Republic,Central African Republic,N0_1,Central African Republic,Under 1 HA,Current Farms,124091.24252683728
CIV,Centre,Centre,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,9410.071630604412
CIV,Centre-Est,Centre-Est,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,826.2627327871959
CIV,Centre-Nord,Centre-Nord,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,8673.46629352196
CIV,Centre-Ouest,Centre-Ouest,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,22150.02652772536
CIV,Nord,Nord,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,6888.309065011856
CIV,Nord-Est,Nord-Est,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,3185.302764685995
CIV,Nord-Ouest,Nord-Ouest,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,2008.72398832179
CIV,Ouest,Ouest,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,13865.701600176382
CIV,Sud,Sud,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,16182.8703126008
CIV,Sud-Ouest,Sud-Ouest,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,4706.299518138955
CIV,Ville D'abidjan,Ville D'abidjan,N0_1,Côte d'Ivoire,Under 1 HA,Current Farms,8849.53669008175
CMR,Adamaoua,Adamaoua,N0_1,Cameroon,Under 1 HA,Current Farms,32944.518655382206
CMR,Centre,Centre,N0_1,Cameroon,Under 1 HA,Current Farms,19792.212339644335
CMR,Douala,Douala,N0_1,Cameroon,Under 1 HA,Current Farms,2473.044129019923
CMR,Est,Est,N0_1,Cameroon,Under 1 HA,Current Farms,19422.8305206252
CMR,Extrme-Nord,Extrme-Nord,N0_1,Cameroon,Under 1 HA,Current Farms,84522.59766601617
CMR,Littoral,Littoral,N0_1,Cameroon,Under 1 HA,Current Farms,12311.426620325068
CMR,Nord,Nord,N0_1,Cameroon,Under 1 HA,Current Farms,34388.25718287452
CMR,Nord-Ouest,Nord-Ouest,N0_1,Cameroon,Under 1 HA,Current Farms,51715.48486844149
CMR,Ouest,Ouest,N0_1,Cameroon,Under 1 HA,Current Farms,37958.219554183685
CMR,Sud,Sud,N0_1,Cameroon,Under 1 HA,Current Farms,8323.49271831653
CMR,Sud-Ouest,Sud-Ouest,N0_1,Cameroon,Under 1 HA,Current Farms,12028.921682326929
CMR,Yaoundé,Yaoundé,N0_1,Cameroon,Under 1 HA,Current Farms,5973.990605684601
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,N0_1,Democratic Republic of the Congo,Under 1 HA,Current Farms,1348026.1422713324
COG,Republic of Congo,Republic of Congo,N0_1,Republic of Congo,Under 1 HA,Current Farms,5496.3016438721115
DJI,Djibouti,Djibouti,N0_1,Djibouti,Under 1 HA,Current Farms,1577.0002042472508
DZA,Adrar,Adrar,N0_1,Algeria,Under 1 HA,Current Farms,7383.329636892533
DZA,Aïn Defla,Aïn Defla,N0_1,Algeria,Under 1 HA,Current Farms,717.0545375408498
DZA,Aïn Témouchent,Aïn Témouchent,N0_1,Algeria,Under 1 HA,Current Farms,149.89876015850822
DZA,Alger,Alger,N0_1,Algeria,Under 1 HA,Current Farms,391.9172907195627
DZA,Annaba,Annaba,N0_1,Algeria,Under 1 HA,Current Farms,97.933856636882
DZA,Batna,Batna,N0_1,Algeria,Under 1 HA,Current Farms,1825.655973648045
DZA,Béchar,Béchar,N0_1,Algeria,Under 1 HA,Current Farms,618.0330251560979
DZA,Béjaïa,Béjaïa,N0_1,Algeria,Under 1 HA,Current Farms,4689.8445347264105
DZA,Biskra,Biskra,N0_1,Algeria,Under 1 HA,Current Farms,2929.5991335548183
DZA,Blida,Blida,N0_1,Algeria,Under 1 HA,Current Farms,527.1671210581615
DZA,Bordj Bou Arréridj,Bordj Bou Arréridj,N0_1,Algeria,Under 1 HA,Current Farms,363.1332633996145
DZA,Bouira,Bouira,N0_1,Algeria,Under 1 HA,Current Farms,1357.0327893303056
DZA,Boumerdès,Boumerdès,N0_1,Algeria,Under 1 HA,Current Farms,2454.886998490432
DZA,Chlef,Chlef,N0_1,Algeria,Under 1 HA,Current Farms,519.8304769183363
DZA,Constantine,Constantine,N0_1,Algeria,Under 1 HA,Current Farms,48.96692831844246
DZA,Djelfa,Djelfa,N0_1,Algeria,Under 1 HA,Current Farms,240.02194111268318
DZA,El Bayadh,El Bayadh,N0_1,Algeria,Under 1 HA,Current Farms,240.02336247945453
DZA,El Oued,El Oued,N0_1,Algeria,Under 1 HA,Current Farms,8090.934229159229
DZA,El Tarf,El Tarf,N0_1,Algeria,Under 1 HA,Current Farms,199.95652682924776
DZA,Ghardaïa,Ghardaïa,N0_1,Algeria,Under 1 HA,Current Farms,2094.17561867041
DZA,Guelma,Guelma,N0_1,Algeria,Under 1 HA,Current Farms,101.01043918572832
DZA,Illizi,Illizi,N0_1,Algeria,Under 1 HA,Current Farms,255.0997570193726
DZA,Jijel,Jijel,N0_1,Algeria,Under 1 HA,Current Farms,2593.2695365683035
DZA,Khenchela,Khenchela,N0_1,Algeria,Under 1 HA,Current Farms,409.0677070745217
DZA,Laghouat,Laghouat,N0_1,Algeria,Under 1 HA,Current Farms,163.98015884005042
DZA,M'sila,M'sila,N0_1,Algeria,Under 1 HA,Current Farms,331.95017454428034
DZA,Mascara,Mascara,N0_1,Algeria,Under 1 HA,Current Farms,686.1595650849337
DZA,Médéa,Médéa,N0_1,Algeria,Under 1 HA,Current Farms,749.0176545287975
DZA,Mila,Mila,N0_1,Algeria,Under 1 HA,Current Farms,671.8250184271692
DZA,Mostaganem,Mostaganem,N0_1,Algeria,Under 1 HA,Current Farms,2904.8311115827705
DZA,Naâma,Naâma,N0_1,Algeria,Under 1 HA,Current Farms,129.91225880402925
DZA,Oran,Oran,N0_1,Algeria,Under 1 HA,Current Farms,134.9088841426468
DZA,Ouargla,Ouargla,N0_1,Algeria,Under 1 HA,Current Farms,7748.547722936314
DZA,Oum El Bouaghi,Oum El Bouaghi,N0_1,Algeria,Under 1 HA,Current Farms,73.03516365901092
DZA,Relizane,Relizane,N0_1,Algeria,Under 1 HA,Current Farms,548.0790142739091
DZA,Saïda,Saïda,N0_1,Algeria,Under 1 HA,Current Farms,101.83982074566751
DZA,Sétif,Sétif,N0_1,Algeria,Under 1 HA,Current Farms,2306.0500212165934
DZA,Sidi Bel Abbès,Sidi Bel Abbès,N0_1,Algeria,Under 1 HA,Current Farms,351.03627875438343
DZA,Skikda,Skikda,N0_1,Algeria,Under 1 HA,Current Farms,1622.8867997592308
DZA,Souk Ahras,Souk Ahras,N0_1,Algeria,Under 1 HA,Current Farms,61.95815419885188
DZA,Tamanghasset,Tamanghasset,N0_1,Algeria,Under 1 HA,Current Farms,508.1661489098538
DZA,Tébessa,Tébessa,N0_1,Algeria,Under 1 HA,Current Farms,76.0386917644533
DZA,Tiaret,Tiaret,N0_1,Algeria,Under 1 HA,Current Farms,27.05590258904241
DZA,Tindouf,Tindouf,N0_1,Algeria,Under 1 HA,Current Farms,43.87792839373339
DZA,Tipaza,Tipaza,N0_1,Algeria,Under 1 HA,Current Farms,670.9836745572131
DZA,Tissemsilt,Tissemsilt,N0_1,Algeria,Under 1 HA,Current Farms,49.17618869587433
DZA,Tizi Ouzou,Tizi Ouzou,N0_1,Algeria,Under 1 HA,Current Farms,15888.761419328388
DZA,Tlemcen,Tlemcen,N0_1,Algeria,Under 1 HA,Current Farms,931.8293149700324
EGY,Egypt,Egypt,N0_1,Egypt,Under 1 HA,Current Farms,5585226.042261399
ERI,Eritrea,Eritrea,N0_1,Eritrea,Under 1 HA,Current Farms,110019.58814669323
ESH,Western Sahara,Western Sahara,N0_1,Western Sahara,Under 1 HA,Current Farms,0
ETH,Addis Abeba,Addis Abeba,N0_1,Ethiopia,Under 1 HA,Current Farms,571832.4526798346
ETH,Afar,Afar,N0_1,Ethiopia,Under 1 HA,Current Farms,67064.70114229302
ETH,Amhara,Amhara,N0_1,Ethiopia,Under 1 HA,Current Farms,1435567.6433484803
ETH,Benshangul-Gumaz,Benshangul-Gumaz,N0_1,Ethiopia,Under 1 HA,Current Farms,87720.65899025244
ETH,Dire Dawa,Dire Dawa,N0_1,Ethiopia,Under 1 HA,Current Farms,20874.337368573175
ETH,Gambela Peoples,Gambela Peoples,N0_1,Ethiopia,Under 1 HA,Current Farms,40080.311929589516
ETH,Harari People,Harari People,N0_1,Ethiopia,Under 1 HA,Current Farms,10513.3643201766
ETH,Oromia,Oromia,N0_1,Ethiopia,Under 1 HA,Current Farms,1653620.697397452
ETH,Somali,Somali,N0_1,Ethiopia,Under 1 HA,Current Farms,197634.36956503056
ETH,"Southern Nations, Nationalities And Peoples","Southern Nations, Nationalities And Peoples",N0_1,Ethiopia,Under 1 HA,Current Farms,1804104.5890572502
ETH,Tigray,Tigray,N0_1,Ethiopia,Under 1 HA,Current Farms,342829.38822226756
GAB,Gabon,Gabon,N0_1,Gabon,Under 1 HA,Current Farms,787.6821941515562
GHA,Ashanti,Ashanti,N0_1,Ghana,Under 1 HA,Current Farms,77350.11517215277
GHA,Brong Ahafo,Brong Ahafo,N0_1,Ghana,Under 1 HA,Current Farms,33303.06279651035
GHA,Central,Central,N0_1,Ghana,Under 1 HA,Current Farms,44467.22485202057
GHA,Eastern,Eastern,N0_1,Ghana,Under 1 HA,Current Farms,63898.28750891093
GHA,Greater Accra,Greater Accra,N0_1,Ghana,Under 1 HA,Current Farms,4941.7899331219905
GHA,Northern,Northern,N0_1,Ghana,Under 1 HA,Current Farms,10805.988671766736
GHA,Upper East,Upper East,N0_1,Ghana,Under 1 HA,Current Farms,15392.00975548807
GHA,Upper West,Upper West,N0_1,Ghana,Under 1 HA,Current Farms,6441.107913972344
GHA,Volta,Volta,N0_1,Ghana,Under 1 HA,Current Farms,51821.69461637843
GHA,Western,Western,N0_1,Ghana,Under 1 HA,Current Farms,21379.483191152238
GIN,Guinea,Guinea,N0_1,Guinea,Under 1 HA,Current Farms,37468.99385249375
GMB,Banjul,Banjul,N0_1,Gambia,Under 1 HA,Current Farms,0
GMB,Lower River,Lower River,N0_1,Gambia,Under 1 HA,Current Farms,1183.0621714300594
GMB,Maccarthy Island,Maccarthy Island,N0_1,Gambia,Under 1 HA,Current Farms,1413.6667935590579
GMB,North Bank,North Bank,N0_1,Gambia,Under 1 HA,Current Farms,2403.3291339156804
GMB,Upper River,Upper River,N0_1,Gambia,Under 1 HA,Current Farms,1431.759885235322
GMB,Western,Western,N0_1,Gambia,Under 1 HA,Current Farms,6402.247497906945
GNB,Guinea-Bissau,Guinea-Bissau,N0_1,Guinea-Bissau,Under 1 HA,Current Farms,4512.248480643115
GNQ,Equatorial Guinea,Equatorial Guinea,N0_1,Equatorial Guinea,Under 1 HA,Current Farms,0
KEN,Baringo,Baringo,N0_1,Kenya,Under 1 HA,Current Farms,11599.684959074348
KEN,Bomet,Bomet,N0_1,Kenya,Under 1 HA,Current Farms,9906.805903974413
KEN,Bondo,Bondo,N0_1,Kenya,Under 1 HA,Current Farms,8112.377956071921
KEN,Bungoma,Bungoma,N0_1,Kenya,Under 1 HA,Current Farms,39598.12097845379
KEN,Buret,Buret,N0_1,Kenya,Under 1 HA,Current Farms,8428.070261295925
KEN,Busia,Busia,N0_1,Kenya,Under 1 HA,Current Farms,16369.67859817814
KEN,Butere/Mumias,Butere/Mumias,N0_1,Kenya,Under 1 HA,Current Farms,24205.48510071241
KEN,Embu,Embu,N0_1,Kenya,Under 1 HA,Current Farms,9074.477754651336
KEN,Garissa,Garissa,N0_1,Kenya,Under 1 HA,Current Farms,402.89193202380017
KEN,Gucha,Gucha,N0_1,Kenya,Under 1 HA,Current Farms,22713.737844307765
KEN,Homa Bay,Homa Bay,N0_1,Kenya,Under 1 HA,Current Farms,10700.50075807999
KEN,Isiolo,Isiolo,N0_1,Kenya,Under 1 HA,Current Farms,1982.7499704768907
KEN,Kajiado,Kajiado,N0_1,Kenya,Under 1 HA,Current Farms,4204.784433584385
KEN,Kakamega,Kakamega,N0_1,Kenya,Under 1 HA,Current Farms,28592.84515119976
KEN,Keiyo,Keiyo,N0_1,Kenya,Under 1 HA,Current Farms,6926.210249013414
KEN,Kericho,Kericho,N0_1,Kenya,Under 1 HA,Current Farms,7994.513793754489
KEN,Kiambu,Kiambu,N0_1,Kenya,Under 1 HA,Current Farms,25138.7127824469
KEN,Kilifi,Kilifi,N0_1,Kenya,Under 1 HA,Current Farms,11485.167744637714
KEN,Kirinyaga,Kirinyaga,N0_1,Kenya,Under 1 HA,Current Farms,14376.364539097442
KEN,Kisii,Kisii,N0_1,Kenya,Under 1 HA,Current Farms,16395.31437802135
KEN,Kisumu,Kisumu,N0_1,Kenya,Under 1 HA,Current Farms,13371.146586787785
KEN,Kitui,Kitui,N0_1,Kenya,Under 1 HA,Current Farms,8276.772050162885
KEN,Koibatek,Koibatek,N0_1,Kenya,Under 1 HA,Current Farms,4874.935064075999
KEN,Kuria,Kuria,N0_1,Kenya,Under 1 HA,Current Farms,6109.245418661933
KEN,Kwale,Kwale,N0_1,Kenya,Under 1 HA,Current Farms,5159.808330771475
KEN,Laikipia,Laikipia,N0_1,Kenya,Under 1 HA,Current Farms,8463.059202381633
KEN,Lamu,Lamu,N0_1,Kenya,Under 1 HA,Current Farms,861.9020150373085
KEN,Lugari,Lugari,N0_1,Kenya,Under 1 HA,Current Farms,9219.675859594534
KEN,Machakos,Machakos,N0_1,Kenya,Under 1 HA,Current Farms,24496.566041854498
KEN,Makueni,Makueni,N0_1,Kenya,Under 1 HA,Current Farms,22114.326273966304
KEN,Malindi,Malindi,N0_1,Kenya,Under 1 HA,Current Farms,4130.646312819633
KEN,Mandera,Mandera,N0_1,Kenya,Under 1 HA,Current Farms,1490.7756722367571
KEN,Maragua,Maragua,N0_1,Kenya,Under 1 HA,Current Farms,17490.397327363426
KEN,Marakwet,Marakwet,N0_1,Kenya,Under 1 HA,Current Farms,4346.074990034879
KEN,Marsabit,Marsabit,N0_1,Kenya,Under 1 HA,Current Farms,527.0689244963384
KEN,Mbeere,Mbeere,N0_1,Kenya,Under 1 HA,Current Farms,3459.540391518521
KEN,Meru Central,Meru Central,N0_1,Kenya,Under 1 HA,Current Farms,19557.435963002685
KEN,Meru South,Meru South,N0_1,Kenya,Under 1 HA,Current Farms,9908.679750393236
KEN,Migori,Migori,N0_1,Kenya,Under 1 HA,Current Farms,15005.266386320665
KEN,Mombasa,Mombasa,N0_1,Kenya,Under 1 HA,Current Farms,1012.91494075312
KEN,Moyale,Moyale,N0_1,Kenya,Under 1 HA,Current Farms,903.0724482481111
KEN,Mt. Elgon,Mt. Elgon,N0_1,Kenya,Under 1 HA,Current Farms,6233.128210923094
KEN,Muranga,Muranga,N0_1,Kenya,Under 1 HA,Current Farms,11335.78028586531
KEN,Mwingi,Mwingi,N0_1,Kenya,Under 1 HA,Current Farms,4163.86085587028
KEN,Nairobi,Nairobi,N0_1,Kenya,Under 1 HA,Current Farms,1274.7523281966596
KEN,Nakuru,Nakuru,N0_1,Kenya,Under 1 HA,Current Farms,16149.6198423625
KEN,Nandi,Nandi,N0_1,Kenya,Under 1 HA,Current Farms,17777.476725006563
KEN,Narok,Narok,N0_1,Kenya,Under 1 HA,Current Farms,12007.266069302372
KEN,Nyambene,Nyambene,N0_1,Kenya,Under 1 HA,Current Farms,22217.02928525084
KEN,Nyamira,Nyamira,N0_1,Kenya,Under 1 HA,Current Farms,17458.77886724461
KEN,Nyandarua,Nyandarua,N0_1,Kenya,Under 1 HA,Current Farms,13291.167260843125
KEN,Nyando,Nyando,N0_1,Kenya,Under 1 HA,Current Farms,12246.407959672786
KEN,Nyeri,Nyeri,N0_1,Kenya,Under 1 HA,Current Farms,25334.32988361084
KEN,Rachuonyo,Rachuonyo,N0_1,Kenya,Under 1 HA,Current Farms,16290.32430879213
KEN,Samburu,Samburu,N0_1,Kenya,Under 1 HA,Current Farms,2726.011872321898
KEN,Siaya,Siaya,N0_1,Kenya,Under 1 HA,Current Farms,20914.55662275435
KEN,Suba,Suba,N0_1,Kenya,Under 1 HA,Current Farms,4588.174143898353
KEN,Taita Taveta,Taita Taveta,N0_1,Kenya,Under 1 HA,Current Farms,7004.021212948663
KEN,Tana River,Tana River,N0_1,Kenya,Under 1 HA,Current Farms,295.01033297106034
KEN,Teso,Teso,N0_1,Kenya,Under 1 HA,Current Farms,5736.234730330228
KEN,Tharaka,Tharaka,N0_1,Kenya,Under 1 HA,Current Farms,2040.4936570884988
KEN,Thika,Thika,N0_1,Kenya,Under 1 HA,Current Farms,20103.37611610359
KEN,Trans Mara,Trans Mara,N0_1,Kenya,Under 1 HA,Current Farms,4356.44289076855
KEN,Trans Nzoia,Trans Nzoia,N0_1,Kenya,Under 1 HA,Current Farms,17358.09532014758
KEN,Turkana,Turkana,N0_1,Kenya,Under 1 HA,Current Farms,2696.124907770549
KEN,Uasin Gishu,Uasin Gishu,N0_1,Kenya,Under 1 HA,Current Farms,12989.982480042616
KEN,Vihiga,Vihiga,N0_1,Kenya,Under 1 HA,Current Farms,25681.929865346494
KEN,Wajir,Wajir,N0_1,Kenya,Under 1 HA,Current Farms,0
KEN,West Pokot,West Pokot,N0_1,Kenya,Under 1 HA,Current Farms,10585.507440683396
LBR,Liberia,Liberia,N0_1,Liberia,Under 1 HA,Current Farms,52521.26066046386
LBY,Libya,Libya,N0_1,Libya,Under 1 HA,Current Farms,4495.5592477168675
LSO,Berea,Berea,N0_1,Lesotho,Under 1 HA,Current Farms,4995.297160758288
LSO,Butha Buthe,Butha Buthe,N0_1,Lesotho,Under 1 HA,Current Farms,1059.9721831113054
LSO,Leribe,Leribe,N0_1,Lesotho,Under 1 HA,Current Farms,3493.8294960689614
LSO,Mafeteng,Mafeteng,N0_1,Lesotho,Under 1 HA,Current Farms,1465.609853976831
LSO,Maseru,Maseru,N0_1,Lesotho,Under 1 HA,Current Farms,2893.6607118426177
LSO,Mohale's Hoek,Mohale's Hoek,N0_1,Lesotho,Under 1 HA,Current Farms,924.0882171583899
LSO,Mokhotlong,Mokhotlong,N0_1,Lesotho,Under 1 HA,Current Farms,950.9588931811076
LSO,Qacha's Nek,Qacha's Nek,N0_1,Lesotho,Under 1 HA,Current Farms,841.0368869286151
LSO,Quthing,Quthing,N0_1,Lesotho,Under 1 HA,Current Farms,1903.6302790209909
LSO,Thaba Tseka,Thaba Tseka,N0_1,Lesotho,Under 1 HA,Current Farms,2969.862219291494
MAR,Morocco,Morocco,N0_1,Morocco,Under 1 HA,Current Farms,143478.2417490876
MDG,Alaotra-Mangoro,Alaotra-Mangoro,N0_1,Madagascar,Under 1 HA,Current Farms,9828.52426643278
MDG,Amoron'i Mania,Amoron'i Mania,N0_1,Madagascar,Under 1 HA,Current Farms,17009.253494819815
MDG,Analamanga,Analamanga,N0_1,Madagascar,Under 1 HA,Current Farms,22904.12121308141
MDG,Analanjirofo,Analanjirofo,N0_1,Madagascar,Under 1 HA,Current Farms,4616.508594706404
MDG,Androy,Androy,N0_1,Madagascar,Under 1 HA,Current Farms,3857.2953793007914
MDG,Anosy,Anosy,N0_1,Madagascar,Under 1 HA,Current Farms,5071.753220795598
MDG,Atsimo-Andrefana,Atsimo-Andrefana,N0_1,Madagascar,Under 1 HA,Current Farms,7013.1965058139
MDG,Atsimo-Atsinanana,Atsimo-Atsinanana,N0_1,Madagascar,Under 1 HA,Current Farms,10058.32573530733
MDG,Atsinanana,Atsinanana,N0_1,Madagascar,Under 1 HA,Current Farms,19325.751256066316
MDG,Betsiboka,Betsiboka,N0_1,Madagascar,Under 1 HA,Current Farms,3148.7260947751347
MDG,Boeny,Boeny,N0_1,Madagascar,Under 1 HA,Current Farms,2900.779392220728
MDG,Bongolava,Bongolava,N0_1,Madagascar,Under 1 HA,Current Farms,2872.10220501261
MDG,Diana,Diana,N0_1,Madagascar,Under 1 HA,Current Farms,2441.4605705112103
MDG,Ihorombe,Ihorombe,N0_1,Madagascar,Under 1 HA,Current Farms,2494.7530842572082
MDG,Itasy,Itasy,N0_1,Madagascar,Under 1 HA,Current Farms,11060.519826874197
MDG,Mahatsiatra Ambony,Mahatsiatra Ambony,N0_1,Madagascar,Under 1 HA,Current Farms,10021.341345328123
MDG,Melaky,Melaky,N0_1,Madagascar,Under 1 HA,Current Farms,1490.4697137851476
MDG,Menabe,Menabe,N0_1,Madagascar,Under 1 HA,Current Farms,1938.7681228282904
MDG,Sava,Sava,N0_1,Madagascar,Under 1 HA,Current Farms,6175.152555392045
MDG,Sofia,Sofia,N0_1,Madagascar,Under 1 HA,Current Farms,10725.172317884104
MDG,Vakinankaratra,Vakinankaratra,N0_1,Madagascar,Under 1 HA,Current Farms,33606.570221368886
MDG,Vatovavy- Fitovinany,Vatovavy- Fitovinany,N0_1,Madagascar,Under 1 HA,Current Farms,21466.5687820379
MLI,Bamako,Bamako,N0_1,Mali,Under 1 HA,Current Farms,200.13601635105243
MLI,Gao,Gao,N0_1,Mali,Under 1 HA,Current Farms,8754.914855279201
MLI,Kayes,Kayes,N0_1,Mali,Under 1 HA,Current Farms,8442.048425600844
MLI,Kidal,Kidal,N0_1,Mali,Under 1 HA,Current Farms,6017.61274049928
MLI,Koulikoro,Koulikoro,N0_1,Mali,Under 1 HA,Current Farms,6469.185048651727
MLI,Mopti,Mopti,N0_1,Mali,Under 1 HA,Current Farms,5540.110183197741
MLI,Ségou,Ségou,N0_1,Mali,Under 1 HA,Current Farms,8196.860025105863
MLI,Sikasso,Sikasso,N0_1,Mali,Under 1 HA,Current Farms,1990.5208765123543
MLI,Timbuktu,Timbuktu,N0_1,Mali,Under 1 HA,Current Farms,7682.975857139534
MOZ,Cabo Delgado,Cabo Delgado,N0_1,Mozambique,Under 1 HA,Current Farms,24116.015103133817
MOZ,Gaza,Gaza,N0_1,Mozambique,Under 1 HA,Current Farms,12984.765705554659
MOZ,Inhambane,Inhambane,N0_1,Mozambique,Under 1 HA,Current Farms,18812.26411455066
MOZ,Manica,Manica,N0_1,Mozambique,Under 1 HA,Current Farms,7157.829010132238
MOZ,Maputo,Maputo,N0_1,Mozambique,Under 1 HA,Current Farms,14601.061078356945
MOZ,Maputo City,Maputo City,N0_1,Mozambique,Under 1 HA,Current Farms,5293.057166771307
MOZ,Nampula,Nampula,N0_1,Mozambique,Under 1 HA,Current Farms,68854.28523342007
MOZ,Nassa,Nassa,N0_1,Mozambique,Under 1 HA,Current Farms,12691.932371643008
MOZ,Sofala,Sofala,N0_1,Mozambique,Under 1 HA,Current Farms,25078.747652075643
MOZ,Tete,Tete,N0_1,Mozambique,Under 1 HA,Current Farms,11738.78320367268
MOZ,Zambezia,Zambezia,N0_1,Mozambique,Under 1 HA,Current Farms,72887.0629919071
MRT,Adrar,Adrar,N0_1,Mauritania,Under 1 HA,Current Farms,0
MRT,Assaba,Assaba,N0_1,Mauritania,Under 1 HA,Current Farms,23.867134400567824
MRT,Brakna,Brakna,N0_1,Mauritania,Under 1 HA,Current Farms,17.90885912911927
MRT,Dakhlet Nouadhibou,Dakhlet Nouadhibou,N0_1,Mauritania,Under 1 HA,Current Farms,0
MRT,Gorgol,Gorgol,N0_1,Mauritania,Under 1 HA,Current Farms,26.96181220794943
MRT,Guidimaka,Guidimaka,N0_1,Mauritania,Under 1 HA,Current Farms,8.633802311112031
